id,name,ostan,shahrestan,bakhsh
1410,سرکل,20,380,672
1411,سرکور,16,233,329
1412,سرگل,24,404,502
1413,سرله,13,58,1022
1414,سرمستان,7,190,3
1415,سرناباد,17,229,1063
1416,سروستان,17,85,997
1417,سروستان,17,241,878
1418,سرولایت,11,419,341
1419,سطر,22,248,486
1420,سعادت آباد,21,254,122
1421,سعید آباد,8,105,149
1422,سعیدآباد,14,49,943
1423,سعیدآباد,8,272,735
1424,سعیدآباد,5,226,959
1425,سعیدیه,13,178,83
1426,سغدر,21,134,153
1427,سفالگران,30,91,548
1428,سفلی,17,152,471
1429,سفلی,4,21,311
1430,سفیدابه,16,421,398
1431,سفیدار,17,133,232
1432,سفیددشت,4,7,902
1433,سفیدسنگ,11,298,453
1434,سفیدکوه,30,385,321
1435,سکمن آباد,2,166,403
1436,سگزآباد,18,86,749
1437,سلامی,11,164,344
1438,سلدوز,2,410,612
1439,سلطان آباد,13,197,345
1440,سلطان آباد,11,169,977
1441,سلطانعلی,24,359,759
1442,سلطانیه,14,244,947
1443,سلگی,30,415,227
1444,سلوک,1,427,800
1445,سلیمان,11,216,348
1446,سمام,25,42,269
1447,سمقان,17,321,194
1448,سنبل آباد,14,244,947
1449,سنجابی,22,329,497
1450,سنجبدجنوبی,3,339,434
1451,سنجبدشرقی,3,157,741
1452,سنجبدشمالی,3,339,746
1453,سنجبدغربی,3,339,746
1454,سندرک,29,403,350
1455,سندمیرثویان,16,135,253
1456,سنگ بست,11,298,651
1457,سنگ سفید,28,163,441
1458,سنگان,16,148,659
1459,سنگر,25,204,352
1460,سنگر,12,288,769
1461,سنگستان,30,429,918
1462,سودلانه,11,318,643
1463,سورسور,20,324,1008
1464,سورک,29,126,557
1465,سورمق,17,2,854
1466,سوری,26,213,354
1467,سورین,13,430,192
1468,سوزا,29,313,389
1469,سوسن شرقی,13,50,355
1470,سوسن غربی,13,50,355
1471,سولقان,8,122,490
1472,سومار,22,314,357
1473,سویسه,13,320,358
1474,سه تلون,13,197,15
1475,سه قلعه,10,232,359
1476,سه هزار,27,119,225
1477,سهرورد,14,151,941
1478,سهروفیروزان,4,300,128
1479,سهرین,14,221,440
1480,سهند,1,31,808
1481,سهندآباد,1,71,145
1482,سیاخ دارنگون,17,273,860
1483,سیاوشان,28,11,780
1484,سیاه منصور,20,96,668
1485,سیاهرود,27,131,602
1486,سیاهرود,8,122,731
1487,سیاهکلرود,25,212,180
1488,سیاهو,29,80,720
1489,سیب وسوران,16,253,981
1490,سیدابراهیم,6,189,304
1491,سیدان,1,333,5
1492,سیدجمال الدین,30,29,920
1493,سیدشهاب,30,121,915
1494,سیدعباس,13,266,375
1495,سیدناصرالدین,6,189,304
1496,سیدولی الدین,13,177,393
1497,سیری,29,17,719
1498,سیرچ,21,328,390
1499,سیروان,22,104,1044
1500,سیریز,21,218,1070
1501,سیریک,29,256,730
1502,سیس,1,263,803
1503,سیس,20,188,87
1504,سیستان,4,37,500
1505,سیف آباد,17,162,877
1506,سیگار,17,363,868
1507,سیلاخور,26,186,363
1508,سیلاخورشرقی,26,27,932
1509,سیلتان,20,96,668
1510,سیمکان,17,85,869
1511,سیمینه رود,30,91,921
1512,سین,4,66,906
1513,سینا,1,423,810
1514,سیوکانلو,12,274,768
1515,سیه بنوییه,21,193,967
1516,شاپور,17,321,863
1517,شاپورآباد,4,66,206
1518,شاخن,10,97,771
1519,شاخنات,10,97,771
1520,شارک,16,315,140
1521,شاسکوه,10,223,371
1522,شال,3,157,376
1523,شالیار,20,240,54
1524,شامکان,11,228,383
1525,شاندرمن,25,369,373
1526,شاندیز,11,99,374
1527,شاوور,13,266,375
1528,شاه جهان,12,288,769
1529,شاهرود,3,157,376
1530,شاهسونکندی,28,227,784
1531,شاهو,20,324,674
1532,شباب,6,142,379
1533,شبانکاره,7,179,380
1534,شبخوس لات,25,42,269
1535,شبلی,1,71,802
1536,شپیران,2,245,501
1537,شجاع,1,128,806
1538,شربیان,1,230,1015
1539,شرق وغرب شیرگاه,27,251,793
1540,شرقی,3,20,740
1541,شروینه,22,130,484
1542,شریف آباد,21,207,478
1543,شریف آباد,21,254,626
1544,شریف آباد,8,103,382
1545,شریف آباد,18,40,566
1546,شش پیر,17,229,859
1547,ششده,17,299,384
1548,ششطراز,11,158,385
1549,شعبان,30,415,917
1550,شعبان,3,382,445
1551,شعبجره,21,218,1070
1552,شعبه,11,205,173
1553,شعیبیه شرقی,13,267,386
1554,شعیبیه غربی,13,267,386
1555,شلال و دشتگل,13,45,847
1556,شلاهی,13,1,827
1557,شلمی,24,377,532
1558,شلیل,9,23,1021
1559,شمس آباد,28,19,779
1560,شمس آباد,13,177,834
1561,شمشیر,22,104,815
1562,شمیل,29,80,135
1563,شناتال,2,245,501
1564,شنبه,7,180,387
1565,شوی,20,61,667
1566,شوییل,25,212,272
1567,شورآب,17,25,870
1568,شوراب,26,143,1057
1569,شوراب تنگزی,9,342,682
1570,شوردشت,30,429,381
1571,شورکات جنوبی,1,31,58
1572,شورو,16,217,496
1573,شوریچه,17,241,878
1574,شوسف,10,416,388
1575,شوقان,12,125,167
1576,شوهان,6,387,983
1577,شهدا,27,94,1069
1578,شهدا,31,401,715
1579,شهرآباد,11,67,391
1580,شهرآباد,8,305,739
1581,شهرستانه,11,174,1043
1582,شهرک,1,5,1005
1583,شهرک,3,100,32
1584,شهرمیان,17,39,856
1585,شهریاری,9,342,257
1586,شهمردی,29,256,92
1587,شهی,13,177,393
1588,شهیدآباد,27,54,97
1589,شهیدآباد,17,154,1002
1590,شهیدآباد,18,15,953
1591,شهیدمدرس,13,267,838
1592,شیان,22,32,813
1593,شیتاب,23,367,1012
1594,شیخ درآباد,1,400,799
1595,شیخ عامر,17,363,186
1596,شیخ فضل اله نوری,27,413,89
1597,شیخ موسی,24,13,761
1598,شیخ نشین,25,369,373
1599,شیدا,9,77,396
1600,شیرامین,1,5,214
1601,شیرجوپشت,25,364,282
1602,شیرز,22,425,112
1603,شیرکوه,31,116,712
1604,شیرنگ,24,285,488
1605,شیروان,26,69,927
1606,شیرین دره,11,318,643
1607,شیرین سو,30,325,397
1608,شیرین سو,12,371,561
1609,شیرینک,21,68,527
1610,شیوانات,14,151,41
1611,شیوه سر,22,104,74
1612,صاحب,20,242,316
1613,صادقیه,4,406,898
1614,صالح آباد,11,275,778
1615,صالح آباد,30,91,399
1616,صالح آباد,8,92,529
1617,صالحان,28,160,782
1618,صایین,1,230,796
1619,صایین قلعه,14,18,940
1620,صحت آباد,5,34,962
1621,صحرا,11,67,48
1622,صحرارود,17,299,861
1623,صحرای باغ,17,361,401
1624,صحنه,22,276,822
1625,صدرآباد,31,401,1032
1626,صفاییه,11,216,974
1627,صفاخانه,2,261,614
1628,صفاییه,4,406,898
1629,صفی آباد,12,30,72
1630,صلخ,29,313,208
1631,صلوات,3,382,568
1632,صوغان,21,24,404
1633,صومای جنوبی,2,26,406
1634,صومای شمالی,2,26,406
1635,صیدون جنوبی,13,58,407
1636,صیدون شمالی,13,58,407
1637,ضیابر,25,277,579
1638,طارم,29,145,726
1639,طارند بالا,8,109,169
1640,طاغنکوه جنوبی,11,306,410
1641,طاغنکوه شمالی,11,306,410
1642,طاقانک,9,271,678
1643,طالخونچه,4,373,901
1644,طاهری,7,336,701
1645,طاهرگوراب,25,277,579
1646,طبر,12,125,167
1647,طبس,11,169,977
1648,طبس مسینا,10,175,522
1649,طراح,13,146,533
1650,طرازناهید,28,227,784
1651,طرق رود,4,408,899
1652,طرقبه,11,99,411
1653,طرود,15,260,707
1654,طرهان شرقی,26,341,412
1655,طرهان غربی,26,341,412
1656,طریق الاسلام,30,415,917
1657,طسوج,17,338,413
1658,طسوج,7,180,387
1659,طغامین,20,96,470
1660,طغرل الجرد,21,340,414
1661,طلاتپه,2,26,1029
1662,طور,27,257,134
1663,طوس,11,383,646
1664,طولارود,25,281,575
1665,طیبی سرحدی شرقی,23,343,182
1666,طیبی سرحدی غربی,23,343,182
1667,طیبی گرمسیری جنوبی,23,343,356
