id,name,ostan,shahrestan
201,چهاردانگه,27,224
202,چهاردانگه,1,431
203,چهاردانگه,8,33
204,چهاردولی,20,311
205,حاجیلار,2,140
206,حبیب آباد,4,66
207,حتی,13,362
208,حرا,29,313
209,حسن آباد,17,39
210,حسین آباد,20,249
211,حلب,14,49
212,حمیل,22,32
213,حور,21,289
214,حومه,1,5
215,حویق,25,281
216,خارک,7,87
217,خاروانا,1,423
218,خاوران,8,200
219,خاوومیرآباد,20,380
220,خاوه,26,181
221,خبر,21,59
222,خبوشان,12,288
223,خرانق,31,22
224,خرقان,28,219
225,خرم آباد,27,119
226,خرمدشت,18,110
227,خزل,30,415
228,خسروشاه,1,112
229,خشت,17,321
230,خشکبیجار,25,204
231,خضرآباد,31,35
232,خفر,17,133
233,خلجستان,19,317
234,خلیفان,2,391
235,خمام,25,204
236,خنافره,13,258
237,خنجین,28,292
238,خواجه,1,426
239,خورش رستم,3,157
240,خورگام,25,210
241,دابودشت,27,14
242,دارخوین,13,258
243,داشلی برون,24,359
244,دالخانی,27,195
245,درب گنبد,26,341
246,درح,10,234
247,درودزن,17,379
248,دستگردان,10,280
249,دشت سر,27,14
250,دشت عباس,6,189
251,دشتابی,18,86
252,دشتک,2,138
253,دشتیاری,16,135
254,دشمن زیاری,17,388
255,دلبران,20,311
256,دلوار,7,120
257,دوآب صمصامی,9,342
258,دودانگه,27,224
259,دهج,21,269
260,دهدز,13,50
261,دهرم,17,291
262,دهفری,27,297
263,دیشموک,23,343
