id,name,shahr_type,ostan,shahrestan,bakhsh
1318,مسجدسلیمان 1,2,13,381,839
1319,مسجدسلیمان 2,2,13,381,839
1320,مشراگه,0,13,196,998
1321,مشکات,0,4,322,894
1322,مشکان,0,17,417,125
1323,مشکان,0,11,169,999
1324,مشکین دشت,0,5,294,1000
1325,مشگین شهر,0,3,382,743
1326,مشهد,0,11,383,646
1327,مشهد 12,2,11,383,646
1328,مشهد ثامن,0,11,383,646
1329,مشهد1,2,11,383,646
1330,مشهد10,2,11,383,646
1331,مشهد11,2,11,383,646
1332,مشهد2,2,11,383,646
1333,مشهد3,2,11,383,646
1334,مشهد4,2,11,383,646
1335,مشهد5,2,11,383,646
1336,مشهد6,2,11,383,646
1337,مشهد7,2,11,383,646
1338,مشهد8,2,11,383,646
1339,مشهد9,2,11,383,646
1340,مشهدریزه,0,11,111,1020
1341,مصیری,0,17,203,879
1342,معلم کلایه,0,18,312,278
1343,معمولان,0,26,106,1004
1344,مغان سر,0,3,100,133
1345,مقاومت,0,13,156,833
1346,ملاثانی,0,13,62,850
1347,ملارد,0,8,384,990
1348,ملایر,0,30,385,916
1349,ملک آباد,0,11,383,17
1350,ملکان,0,1,386,807
1351,ممقان,0,1,5,1005
1352,منج,0,9,365,1006
1353,منجیل,0,25,210,578
1354,منصوریه,0,13,93,832
1355,منظریه,0,4,270,893
1356,منوجان,0,21,389,633
1357,موچش,0,20,324,1008
1358,مود,0,10,234,1009
1359,مورموری,0,6,3,479
1360,موسیان,0,6,189,1011
1361,مومن آباد,0,26,27,148
1362,مهاباد,0,2,391,610
1363,مهاباد,0,4,21,1013
1364,مهاجران,0,28,259,297
1365,مهاجران,0,30,91,548
1366,مهدی شهر,0,15,392,709
1367,مهر,0,17,393,874
1368,مهر,0,6,387,518
1369,مهران,0,6,394,688
1370,مهربان,0,1,230,1015
1371,مهردشت,0,31,16,107
1372,مهرستان,0,16,395,980
1373,مهریز,0,31,396,713
1374,میامی,0,15,397,949
1375,میان راهان,0,22,276,265
1376,میاندوآب,0,2,398,611
1377,میانرود,0,13,177,834
1378,میانشهر,0,17,299,394
1379,میانه,0,1,400,799
1380,میبد,0,31,401,715
1381,میداود,0,13,58,1022
1382,میرآباد,0,2,238,1054
1383,میرجاوه,0,16,402,911
1384,میلاجرد,0,28,334,1024
1385,میمند,0,17,304,1025
1386,میمه,0,4,262,1026
1387,میمه,0,6,189,327
1388,میناب,0,29,403,723
1389,مینودشت,0,24,404,760
1390,مینوشهر,0,13,156,1027
1391,نازک علیا,0,2,107,23
1392,ناغان,0,9,345,1030
1393,نافچ,0,9,271,678
1394,نالوس,0,2,36,1031
1395,نایین,0,4,405,897
1396,نجف آباد,0,4,406,898
1397,نجف شهر,0,21,254,626
1398,نخل تقی,0,7,284,939
1399,ندوشن,0,31,401,1032
1400,نراق,0,28,183,783
1401,نرجه,0,18,110,750
1402,نرماشیر,0,21,407,969
1403,نسیم شهر,0,8,92,102
1404,نشتارود,0,27,119,1033
1405,نشتیفان,0,11,164,649
1406,نصرآباد,0,11,113,1034
1407,نصرآباد,0,4,37,155
1408,نصرت آباد,0,16,217,1035
1409,نصیرشهر,0,8,201,737
1410,نطنز,0,4,408,899
1411,نظام شهر,0,21,407,276
1412,نظرآباد,0,5,409,960
1413,نظرکهریزی,0,1,427,1036
1414,نقاب,0,11,132,975
1415,نقده,0,2,410,612
1416,نقنه,0,9,70,677
1417,نکا,0,27,411,600
1418,نگار,0,21,68,1037
1419,نگور,0,16,135,253
1420,نگین شهر,0,24,8,763
1421,نلاس,0,2,238,1054
1422,نمین,0,3,412,747
1423,نوبران,0,28,227,1041
1424,نوبندگان,0,17,299,1042
1425,نوجین,0,17,291,875
1426,نوخندان,0,11,174,1043
1427,نودان,0,17,321,505
1428,نودژ,0,21,389,10
1429,نودشه,0,22,104,1044
1430,نوده خاندوز,0,24,8,188
1431,نور,0,27,413,596
1432,نورآباد,0,17,388,866
1433,نورآباد,0,26,181,929
1434,نوربهار,0,14,151,941
1435,نوسود,0,22,104,1044
1436,نوش آباد,0,4,7,902
1437,نوشهر,0,27,414,597
1438,نوشین,0,2,26,1029
1439,نوک آباد,0,16,148,1046
1440,نوکنده,0,24,81,1047
1441,نهاوند,0,30,415,917
1442,نهبندان,0,10,416,775
1443,نی ریز,0,17,417,867
1444,نیاسر,0,4,322,1048
1445,نیر,0,31,116,1049
1446,نیر,0,3,418,748
1447,نیشابور,0,11,419,647
1448,نیشابور 1,2,11,419,647
1449,نیشابور 2,2,11,419,647
